updatetime,vehiclecount,totalspaces,garagecode,streamtime,switch
1646,31.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,202.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,71.0,130.0,5,1618,1
1676,31.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,202.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,72.0,130.0,5,1618,1
1646,31.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,63.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,203.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,72.0,130.0,5,1618,1
1676,31.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,63.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,203.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,72.0,130.0,5,1618,1
1646,31.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,63.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,204.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,73.0,130.0,5,1618,1
1676,31.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,65.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,204.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,71.0,130.0,5,1618,1
1646,31.0,400.0,6,1618,0
1646,26.0,210.0,7,1618,0
1646,66.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,207.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,70.0,130.0,5,1618,1
1676,32.0,400.0,6,1618,0
1676,26.0,210.0,7,1618,0
1676,65.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,220.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,69.0,130.0,5,1618,1
1646,34.0,400.0,6,1618,0
1646,29.0,210.0,7,1618,0
1646,67.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,255.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,65.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,35.0,210.0,7,1618,0
1676,68.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,293.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,63.0,130.0,5,1618,1
1646,43.0,400.0,6,1618,0
1646,40.0,210.0,7,1618,0
1646,79.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,270.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,63.0,130.0,5,1618,1
1676,61.0,400.0,6,1618,0
1676,64.0,210.0,7,1618,1
1676,104.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,484.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,68.0,130.0,5,1618,1
1646,87.0,400.0,6,1618,1
1646,84.0,210.0,7,1618,1
1646,146.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,667.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,87.0,130.0,5,1618,1
1676,123.0,400.0,6,1618,1
1676,95.0,210.0,7,1618,1
1676,239.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,786.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,108.0,130.0,5,1618,1
1646,153.0,400.0,6,1618,1
1646,101.0,210.0,7,1618,1
1646,287.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,833.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,113.0,130.0,5,1618,1
1676,174.0,400.0,6,1618,1
1676,105.0,210.0,7,1618,1
1676,349.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,845.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,132.0,130.0,5,1618,0
1646,202.0,400.0,6,1618,1
1646,107.0,210.0,7,1618,1
1646,422.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,861.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,139.0,130.0,5,1618,0
1676,241.0,400.0,6,1618,1
1676,112.0,210.0,7,1618,1
1676,462.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,880.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,157.0,130.0,5,1618,0
1646,267.0,400.0,6,1618,1
1646,113.0,210.0,7,1618,1
1646,482.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,889.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,137.0,130.0,5,1618,0
1676,282.0,400.0,6,1618,1
1676,114.0,210.0,7,1618,1
1676,483.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,886.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,113.0,130.0,5,1618,1
1646,283.0,400.0,6,1618,1
1646,107.0,210.0,7,1618,1
1646,496.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,896.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,118.0,130.0,5,1618,1
1676,306.0,400.0,6,1618,1
1676,106.0,210.0,7,1618,1
1676,526.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,901.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,117.0,130.0,5,1618,1
1646,325.0,400.0,6,1618,1
1646,111.0,210.0,7,1618,1
1646,523.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,884.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,122.0,130.0,5,1618,1
1676,321.0,400.0,6,1618,1
1676,106.0,210.0,7,1618,1
1676,518.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,848.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,122.0,130.0,5,1618,1
1646,312.0,400.0,6,1618,1
1646,101.0,210.0,7,1618,1
1646,517.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,812.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,103.0,130.0,5,1618,1
1676,294.0,400.0,6,1618,1
1676,96.0,210.0,7,1618,1
1676,488.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,725.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,91.0,130.0,5,1618,1
1646,286.0,400.0,6,1618,1
1646,75.0,210.0,7,1618,1
1646,441.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,661.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,72.0,130.0,5,1618,1
1676,250.0,400.0,6,1618,1
1676,62.0,210.0,7,1618,1
1676,387.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,565.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,63.0,130.0,5,1618,1
1646,222.0,400.0,6,1618,1
1646,53.0,210.0,7,1618,1
1646,332.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,459.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,67.0,130.0,5,1618,1
1676,193.0,400.0,6,1618,1
1676,49.0,210.0,7,1618,1
1676,284.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,390.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,75.0,130.0,5,1618,1
1646,172.0,400.0,6,1618,1
1646,48.0,210.0,7,1618,1
1646,231.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,363.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,69.0,130.0,5,1618,1
1676,131.0,400.0,6,1618,1
1676,50.0,210.0,7,1618,1
1676,181.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,344.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,65.0,130.0,5,1618,1
1646,112.0,400.0,6,1618,1
1646,41.0,210.0,7,1618,0
1646,140.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,324.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,65.0,130.0,5,1618,1
1676,98.0,400.0,6,1618,1
1676,38.0,210.0,7,1618,0
1676,117.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,323.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,64.0,130.0,5,1618,1
1646,88.0,400.0,6,1618,1
1646,39.0,210.0,7,1618,0
1646,110.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,326.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,63.0,130.0,5,1618,1
1676,75.0,400.0,6,1618,0
1676,38.0,210.0,7,1618,0
1676,97.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,330.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,62.0,130.0,5,1618,1
1646,64.0,400.0,6,1618,0
1646,33.0,210.0,7,1618,0
1646,79.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,309.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,54.0,130.0,5,1618,1
1676,57.0,400.0,6,1618,0
1676,33.0,210.0,7,1618,0
1676,75.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,281.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,51.0,130.0,5,1618,1
1646,48.0,400.0,6,1618,0
1646,32.0,210.0,7,1618,0
1646,68.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,254.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,47.0,130.0,5,1618,1
1676,46.0,400.0,6,1618,0
1676,32.0,210.0,7,1618,0
1676,67.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,231.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,38.0,130.0,5,1618,1
1646,43.0,400.0,6,1618,0
1646,32.0,210.0,7,1618,0
1646,63.0,700.0,8,1618,0
1676,62.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,228.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,34.0,130.0,5,1618,1
1676,36.0,400.0,6,1618,0
1676,30.0,210.0,7,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,227.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,30.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,30.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,227.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,30.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,30.0,210.0,7,1618,0
1676,63.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,226.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,32.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,29.0,210.0,7,1618,0
1646,60.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,223.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,31.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,28.0,210.0,7,1618,0
1676,60.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,223.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,29.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,28.0,210.0,7,1618,0
1646,60.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,223.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,29.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,29.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,223.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,28.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,29.0,210.0,7,1618,0
1646,61.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,223.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,29.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,29.0,210.0,7,1618,0
1676,61.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,223.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,29.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,29.0,210.0,7,1618,0
1646,63.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,223.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,29.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,29.0,210.0,7,1618,0
1676,63.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,223.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,29.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,28.0,210.0,7,1618,0
1646,64.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,223.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,29.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,28.0,210.0,7,1618,0
1676,64.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,222.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,27.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,28.0,210.0,7,1618,0
1646,64.0,700.0,8,1618,0
1676,64.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,224.0,1240.0,3,1618,0
1676,22.0,953.0,4,1618,0
1676,27.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,29.0,210.0,7,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,238.0,1240.0,3,1618,0
1646,22.0,953.0,4,1618,0
1646,30.0,130.0,5,1618,1
1646,35.0,400.0,6,1618,0
1646,32.0,210.0,7,1618,0
1646,66.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,267.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,34.0,130.0,5,1618,1
1676,35.0,400.0,6,1618,0
1676,39.0,210.0,7,1618,0
1676,71.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,261.0,1240.0,3,1618,1
1646,22.0,953.0,4,1618,0
1646,32.0,130.0,5,1618,1
1646,47.0,400.0,6,1618,0
1646,49.0,210.0,7,1618,1
1646,86.0,700.0,8,1618,0
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,339.0,1240.0,3,1618,1
1676,22.0,953.0,4,1618,0
1676,33.0,130.0,5,1618,1
1676,71.0,400.0,6,1618,0
1676,74.0,210.0,7,1618,1
1676,126.0,700.0,8,1618,0
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,479.0,1240.0,3,1618,1
1646,146.0,953.0,4,1618,0
1646,36.0,130.0,5,1618,1
1646,81.0,400.0,6,1618,1
1646,96.0,210.0,7,1618,1
1646,183.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,660.0,1240.0,3,1618,1
1676,223.0,953.0,4,1618,1
1676,56.0,130.0,5,1618,1
1676,106.0,400.0,6,1618,1
1676,105.0,210.0,7,1618,1
1676,246.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,741.0,1240.0,3,1618,1
1646,280.0,953.0,4,1618,1
1646,66.0,130.0,5,1618,1
1646,151.0,400.0,6,1618,1
1646,110.0,210.0,7,1618,1
1646,294.0,700.0,8,1618,1
1676,0.0,65.0,1,1618,0
1676,0.0,512.0,2,1618,0
1676,810.0,1240.0,3,1618,1
1676,301.0,953.0,4,1618,1
1676,73.0,130.0,5,1618,1
1676,177.0,400.0,6,1618,1
1676,113.0,210.0,7,1618,1
1676,354.0,700.0,8,1618,1
1646,0.0,65.0,1,1618,0
1646,0.0,512.0,2,1618,0
1646,845.0,1240.0,3,1618,1
1646,382.0,953.0,4,1618,1
1646,83.0,130.0,5,1618,1
1646,210.0,400.0,6,1618,1
1646,121.0,210.0,7,1618,1
1646,429.0,700.0,8,1618,1
